pipeline_id,combination,stage,tool_name,cache_key,duration_sec,status,output_path
75dca8c144db13b5,comb_001,pre_training,noop,ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b,3.94,success,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b/output
75dca8c144db13b5,comb_005,pre_training,feature-squeeze,80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483,3.96,success,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483/output
75dca8c144db13b5,comb_000,pre_training,noop,ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b,2.56,success,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b/output
75dca8c144db13b5,comb_004,pre_training,feature-squeeze,80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483,2.51,success,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483/output
75dca8c144db13b5,comb_002,pre_training,noop,ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b,3.06,success,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b/output
75dca8c144db13b5,comb_006,pre_training,feature-squeeze,80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483,2.93,success,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483/output
75dca8c144db13b5,comb_003,pre_training,noop,ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b,4.94,success,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b/output
75dca8c144db13b5,comb_007,pre_training,feature-squeeze,80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483,6.07,success,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/80ba211bea6d52e3d3d6a868645f5cebc66baf4f3e0350a0c9f9af4aa1a1e483/output
75dca8c144db13b5,comb_002,during_training,in-dp,cc1761512717228dc36837f2ece93e0c32f80076899e7542fabbd0492dc5bf72,0.00,failure,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/ecc2de76821c7b54cc71a20a5b024d9bac4d8d7b9ce6890145eca015313e311b/output
75dca8c144db13b5,comb_001,during_training,in_noop,51ced4af3c9abfef99b7906c65ffd5af8d8fcb8c4ae452a9ce141d27bb9524ec,90.81,success,/share/landseer/workspace-ayushi/Landseer/cache/75dca8c144db13b5/51ced4af3c9abfef99b7906c65ffd5af8d8fcb8c4ae452a9ce141d27bb9524ec/output
